attendance,day,p_nr,p_id,notes,consent_checkbox_1,consent_checkbox_2,consent_checkbox_3,consent_checkbox_4,consent_checkbox_5,consent_checkbox_6,age,vision,hearing,naive,base_ios_john,base_ios_allen,base_ios_anna,base_pd1,base_pd2,base_ec1,base_ec2,base_pd3,base_ec3,base_pd4,base_ec4,base_pd5,base_pd6,base_ec5,base_pd7,base_ec6,base_pd8,open4,open8,open12,exercise_stren,exercise_moderate,exercise_mild,income,education,base_tpb8,base_tpb9,base_tpb4,base_nam5,base_tpb2,base_tpb12,base_tpb10,base_nam2,base_nam3,base_nam10,base_nam12,base_nam4,base_tpb3,base_tpb7,base_nam9,base_nam1,base_tpb1,base_tpb5,base_nam7,base_tpb6,base_nam8,base_tpb11,base_nam6,base_nam11,base_tpb13,base_tpb14,base_tpb15,open1,open6,open11,iri2,iri4,iri6,iri9,iri10,iri13,iri14,iri17,iri18,iri19,iri20,iri22,iri24,iri27,exercise_sweat,omsi,familiarity,liking,motivation1,motivation2,motivation4,motivation5,relationship2,identity1,experience-1,politics,motivation_other,relationship-1,identity-1,motivation3,identity5,identity3,experience1,identity-9,identity2,experience2,experience-9,relationship1,experience3,identity4,NA_count.pre,check_toofast_base,flyer,perfo_emotion1,perfo_emotion2,perfo_emotion3,perfo_emotion4,perfo_emotion5,perfo_emotion6,perfo_describe1,perfo_describe2,perfo_describe3,perfo_describe4,perfo_describe5,perfo_describe6,perfo_describe7,perfo_describe8,perfo_describe9,perfo_describe10,perfo_enjoy,perfo_interest,perfo_moved,perfo_insight,perfo_concentration,perfo_chills,perfo_tears,perfo_reengage,perfo_duration,perfo_understand_john,perfo_understand_allen,perfo_ios_john,perfo_ios_allen,perfo_ios_anna,perfo_ios_inperson,perfo_ios_remote,perfo_pd1,perfo_pd2,perfo_ec1,perfo_ec2,perfo_pd3,perfo_ec3,perfo_pd4,perfo_ec4,perfo_pd5,perfo_pd6,perfo_ec5,perfo_pd7,perfo_ec6,perfo_pd8,perfo_nam2,perfo_nam3,perfo_nam4,perfo_nam1,perfo_tpb13,perfo_tpb14,perfo_tpb15,docu_emotion1,docu_emotion2,docu_emotion3,docu_emotion4,docu_emotion5,docu_emotion6,docu_enjoy,docu_interest,docu_moved,docu_insight,docu_concentration,docu_chills,docu_tears,docu_reengage,docu_duration,docu_understand_john,docu_understand_allen,docu_understand_anna,docu_ios_john,docu_ios_allen,docu_ios_anna,docu_ios_inperson,docu_ios_remote,docu_pd1,docu_pd2,docu_ec1,docu_ec2,docu_pd3,docu_ec3,country,priorknowledge,docu_pd4,docu_ec4,docu_pd5,docu_pd6,docu_ec5,docu_pd7,docu_ec6,docu_pd8,docu_nam2,docu_nam3,docu_nam4,docu_nam1,docu_tpb13,docu_tpb14,docu_tpb15,final_tpb8,final_tpb9,final_tpb4,final_nam5,final_tpb2,final_tpb12,final_tpb10,final_nam10,final_nam12,final_tpb3,final_tpb7,final_nam9,final_tpb1,final_tpb5,final_nam7,final_tpb6,final_nam8,final_tpb11,final_nam6,final_nam11,orderpreference,caffeine,speaker,video_quality,video_fluency,camera_frame,sound_quality,base_emotion1,base_emotion2,base_emotion3,base_emotion4,base_emotion5,base_emotion6,base_ios_inperson,base_ios_remote,mailing,NA_count.event,time1,time2,time3,check_toofast1,check_tooslow1,check_toofast2,check_tooslow2,check_toofast3,check_tooslow3,donation_click,post_donation,donation_amount,order
in-person,0,01,sub-in001,NA,1,1,1,1,1,1,61,1,1,1,1,2,1,4,5,7,6,5,1,3,6,5,1,5,1,5,3,5,5,5,0,3,3,-9,6,1,5,6,4,6,4,5,4,5,4,3,3,6,2,4,3,4,2,3,5,4,3,3,5,2,4,4,1,2,2,4,1,5,5,4,2,2,4,1,3,5,4,2,2,2,2,5,6,NA,2,4,NA,1,1,1,5,I love Dr. Fink,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,FALSE,1,2,1,4,4,3,1,Creative,Interesting,Thought provoking,Intelligent,Socially relevant,Multi-sensory,NA,NA,NA,NA,7,7,4,4,7,1,1,6,4,1,1,1,2,1,2,1,3,5,6,5,5,1,3,6,3,3,5,2,6,2,5,4,4,5,1,4,2,2,2,4,4,3,1,6,6,3,3,6,1,1,3,5,1,1,1,1,2,1,2,1,4,5,7,5,4,1,NA,2,2,7,2,3,4,2,6,3,5,4,5,5,2,4,3,2,6,7,4,6,4,5,5,2,6,4,3,5,4,3,5,4,4,3,6,-1,-9,NA,NA,NA,NA,NA,2,2,4,3,4,1,2,1,-1,9,5.511433333333334,5.2096833333333334,5.470183333333333,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,0,NA,film-perfo
in-person,0,02,sub-in002,"pre-survey incomplete, might have filled out after the event started",1,1,1,1,1,NA,23,1,1,1,1,1,1,1,2,6,3,NA,4,1,3,1,1,2,2,2,2,NA,NA,NA,NA,NA,NA,-9,-9,5,4,6,6,7,2,1,6,3,5,4,5,6,2,4,6,7,2,5,3,4,4,5,4,2,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-9,NA,NA,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,NA,1,2,1,3,2,1,1,Immersive,Real,Poetic,Metaphorical,Percussion,Unique instruments,Room of imagination,Blank space,Educational,Social awareness,5,7,4,3,4,2,1,6,4,2,2,5,5,5,6,4,1,2,7,3,1,4,1,3,1,1,2,1,5,3,7,2,5,7,4,4,4,3,2,2,1,2,3,3,5,2,3,3,1,1,2,7,3,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,7,6,6,4,4,5,4,6,2,5,6,2,5,3,5,4,5,5,1,-9,NA,NA,NA,NA,NA,4,2,1,1,3,3,3,2,-9,5,98.29006666666666,2.7795666666666667,4.3586,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,film-perfo
in-person,0,03,sub-in003,Replaced tablet at ckpt_15,1,1,1,1,1,1,38,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,5,5,0,6,4,3,5,4,7,7,4,7,5,4,6,2,4,4,2,6,4,5,4,6,5,5,6,6,5,3,5,7,5,3,5,1,1,5,1,2,5,2,4,1,2,1,4,5,5,2,1,3,2,1,6,NA,NA,4,5,1,1,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,FALSE,1,2,1,4,2,4,1,Inspiring,Stimulating,Intruguing,Captivating,Triggering,Felt like watching celebrities perform after seeing the film,NA,NA,NA,NA,7,7,7,7,7,5,1,7,5,1,1,5,5,4,5,1,5,7,7,5,6,3,5,7,6,3,3,4,6,4,7,2,2,6,6,6,4,3,2,4,3,3,1,6,7,4,4,6,5,1,5,6,1,1,1,5,5,6,3,1,4,6,5,5,5,2,NA,1,1,7,6,5,5,5,3,6,5,2,2,6,5,4,2,2,5,7,5,7,5,3,3,5,7,4,6,6,2,6,4,5,7,6,5,1,6,NA,NA,NA,NA,NA,3,1,4,3,3,1,1,1,1,9,0.3902,2.9893666666666667,2.6618666666666666,NA,NA,NA,NA,NA,NA,NA,0,NA,film-perfo
in-person,0,04,sub-in004,"during intermission: ""recording failed""",1,1,1,1,NA,NA,25,1,1,1,2,2,1,5,6,5,4,6,3,6,5,5,5,2,4,4,4,5,5,5,4,3,7,1,5,7,7,7,6,7,5,7,7,1,6,6,7,7,7,7,7,7,7,7,7,7,5,7,7,4,7,4,1,1,1,5,2,1,5,1,2,1,2,1,4,5,3,1,1,2,2,3,5,NA,2,4,NA,1,NA,NA,7,NA,NA,NA,3,NA,1,1,NA,1,NA,NA,NA,NA,NA,18,FALSE,1,2,1,3,2,3,1,Powerful,Moving,Intense,Transformative,Important,NA,NA,NA,NA,NA,7,7,6,5,7,4,1,7,4,1,1,4,4,5,3,2,5,7,7,3,6,3,5,7,6,5,3,4,6,4,7,1,7,7,1,5,3,3,2,3,3,3,1,5,5,4,4,6,4,1,4,4,1,1,1,3,3,3,3,2,5,7,7,4,6,2,NA,1,4,5,6,6,2,4,4,6,7,1,5,7,1,5,2,7,6,7,6,7,6,5,5,4,7,7,5,7,7,7,7,6,3,7,6,1,-9,NA,NA,NA,NA,NA,3,1,3,3,3,1,5,2,-1,11,3.2436833333333333,2.6253333333333333,2.7337,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,0,NA,film-perfo
in-person,0,05,sub-in005,NA,1,1,1,1,1,1,26,1,1,1,1,1,4,1,2,3,2,2,1,1,3,5,2,1,6,3,3,4,4,3,0,1,7,-9,6,4,3,7,7,7,5,3,5,5,6,4,3,5,4,4,6,5,3,3,7,2,4,5,4,1,3,3,5,4,2,3,2,4,4,3,2,2,3,2,2,4,3,2,2,1,3,1,-9,NA,2,4,5,1,NA,1,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,FALSE,1,3,2,1,1,2,2,Moving,Intense,Eye openning,NA,NA,NA,NA,NA,NA,NA,4,3,5,4,6,5,1,2,5,3,3,2,2,3,5,3,1,3,6,4,3,2,2,5,3,3,3,2,5,5,2,2,3,6,2,5,2,3,2,2,2,1,2,4,3,5,4,5,3,1,2,5,1,1,1,2,2,3,3,2,2,2,6,3,2,2,NA,1,5,6,3,5,3,4,5,6,4,3,2,6,3,6,3,5,5,7,5,5,3,3,3,2,5,3,3,6,3,4,6,3,4,4,2,1,4,NA,NA,NA,NA,NA,2,1,3,3,1,1,7,4,-1,13,5.7218333333333335,3.044783333333333,5.106466666666667,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,0,NA,film-perfo
in-person,0,06,sub-in006,NA,1,1,1,1,1,1,26,1,1,1,2,2,3,1,5,6,6,2,3,3,7,6,5,3,3,6,3,5,5,4,0,3,7,-9,6,6,5,7,5,6,4,4,6,5,4,4,6,6,6,4,6,6,4,5,6,4,3,5,5,4,6,5,2,1,1,3,2,4,4,5,2,3,5,2,4,2,2,2,2,1,4,1,-9,1,2,4,5,NA,1,1,6,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,FALSE,1,2,2,3,3,1,2,Moving,Eye opening,Insightful,Genius,Detailed,Creative,Warm,Hypnotizing,NA,NA,6,7,6,5,7,4,1,4,4,1,1,6,6,6,3,2,3,6,7,6,4,6,4,7,4,4,5,4,6,4,7,5,5,7,5,7,5,2,3,2,3,4,3,5,6,6,6,6,1,1,3,5,2,3,1,5,5,6,3,2,6,6,7,6,4,5,NA,1,5,7,5,5,4,4,5,4,7,5,5,7,5,7,5,5,4,7,5,6,4,4,6,4,7,4,5,6,4,4,6,4,2,4,5,1,4,NA,NA,NA,NA,NA,2,1,3,3,2,2,5,2,1,8,5.7734,2.661016666666667,2.92595,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,0,NA,film-perfo
in-person,0,07,sub-in007,NA,1,1,1,1,1,1,19,1,1,1,1,1,1,4,4,5,3,2,1,2,3,5,5,2,6,4,4,5,4,4,2,3,7,1,2,5,4,6,5,7,4,3,7,3,4,5,6,6,4,4,5,5,4,5,5,4,2,4,2,5,5,4,1,2,2,5,2,3,4,4,3,2,3,2,4,4,4,2,2,2,4,5,5,1,2,4,NA,NA,1,1,4,NA,1,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,FALSE,0,2,2,1,1,3,3,Powerful,Emotional,Chills,NA,NA,NA,NA,NA,NA,NA,7,7,7,6,7,7,5,7,4,3,3,2,2,2,4,1,5,5,5,5,4,3,3,3,5,2,3,5,5,4,7,1,7,7,5,5,4,3,1,2,2,2,2,6,5,6,7,4,5,1,4,5,3,3,3,1,1,1,4,1,5,5,6,6,2,1,NA,2,2,2,4,2,2,6,6,5,7,2,6,6,4,5,4,4,4,7,6,7,5,5,5,6,7,5,4,6,5,7,7,5,4,6,5,1,10,NA,NA,NA,NA,NA,2,1,3,3,2,1,4,1,-1,13,2.8477166666666665,1.5958,2.03515,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,0,NA,film-perfo
in-person,0,08,sub-in008,pre-survey incomplete,1,1,1,1,1,NA,57,1,1,1,1,1,1,4,2,6,1,3,1,2,6,5,2,1,3,4,4,NA,NA,NA,NA,NA,NA,-9,-9,1,4,7,5,6,4,4,6,3,5,4,5,7,6,4,7,7,5,5,7,3,1,4,5,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-9,NA,NA,4,5,NA,NA,NA,NA,Lauren rocks,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,NA,1,1,3,4,1,4,3,Moving,Impactful,Thoughtful,Careful,Compassionate,Strong,NA,NA,NA,NA,7,7,6,3,7,1,2,5,4,1,1,5,5,4,4,1,6,6,7,1,5,3,5,7,5,6,1,7,7,5,7,1,6,6,2,2,6,2,3,4,1,3,2,5,6,5,6,7,2,7,6,5,1,1,1,3,4,5,4,1,7,5,6,4,7,4,NA,1,5,7,7,6,4,7,7,7,7,1,6,6,3,4,7,4,5,7,5,7,3,5,5,3,7,6,6,6,5,7,5,6,5,7,4,1,5,NA,NA,NA,NA,NA,4,4,3,1,3,4,1,1,-1,10,2.702733333333333,2.2340166666666668,2.729,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,0,NA,film-perfo
in-person,0,09,sub-in009,"after doc said ""failed to record""",1,1,1,1,1,NA,20,1,1,1,1,1,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,1,1,1,1,2,3,2,2,3,3,3,2,4,4,4,3,3,2,4,3,4,3,2,2,4,3,4,3,2,1,2,4,2,2,2,3,2,2,2,2,3,2,3,4,3,3,2,2,3,1,2,1,-9,1,2,NA,5,NA,NA,1,4,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,17,FALSE,1,3,3,2,2,3,2,Mesmerizing,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,3,3,5,2,1,3,5,4,4,1,1,1,2,1,4,2,2,2,2,2,2,2,2,2,2,3,2,2,4,4,3,4,1,3,4,3,3,2,2,2,2,3,3,2,4,2,1,1,2,5,4,4,4,1,1,1,3,1,3,2,2,2,2,2,NA,1,2,2,2,2,2,2,2,2,4,4,3,4,1,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,3,3,1,-9,NA,NA,NA,NA,NA,3,2,2,2,1,1,3,1,-1,15,2.57615,1.7713333333333334,1.4087666666666667,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,film-perfo
in-person,0,10,sub-in010,pre-survey incomplete,1,1,1,1,1,1,19,1,1,1,3,2,3,2,3,4,4,3,4,2,4,4,3,4,2,4,2,NA,NA,NA,NA,NA,NA,-9,-9,6,6,6,5,7,5,5,6,3,5,4,6,7,4,5,6,6,5,5,6,6,6,4,6,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,NA,1,3,1,2,2,2,1,Abstract,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,2,2,4,1,1,4,5,3,3,2,2,3,3,3,3,3,4,4,2,2,2,4,2,2,2,2,4,4,4,3,6,6,4,4,4,3,2,2,2,2,2,2,3,3,3,4,2,1,2,5,2,2,2,2,2,3,3,3,2,2,4,4,2,2,NA,1,2,4,2,2,4,2,3,2,5,3,6,6,2,4,4,6,6,6,4,6,4,4,4,4,6,5,5,5,5,4,6,4,4,4,4,-1,-9,NA,NA,NA,NA,NA,2,2,2,2,3,1,3,3,-1,15,2.2801,1.8098166666666666,1.6375666666666666,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,film-perfo
in-person,0,11,sub-in011,NA,1,1,1,1,1,1,82,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,2,2,3,4,0,-9,-9,6,5,7,5,6,6,5,7,2,6,4,2,6,7,4,7,7,5,6,6,6,4,5,6,2,4,4,1,1,2,4,2,5,4,4,2,5,5,1,2,5,4,4,3,3,3,2,-9,1,NA,NA,NA,NA,1,1,6,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,0,4,3,2,1,2,3,Powerful,Shocking,Long,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,1,1,1,6,1,1,2,2,3,1,1,5,5,5,4,4,3,5,5,5,5,4,5,5,5,7,1,4,6,2,4,5,4,1,1,1,3,1,6,5,6,5,5,1,2,3,5,1,1,1,2,2,3,2,1,5,6,6,4,6,3,NA,1,6,5,6,5,4,4,6,6,7,2,5,6,2,4,5,5,5,6,5,6,5,6,5,4,5,6,5,5,6,3,5,4,3,4,5,1,9,NA,NA,NA,NA,NA,2,1,3,2,3,1,3,1,-1,14,7.463766666666666,5.026316666666666,4.880583333333333,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,film-perfo
in-person,0,12,sub-in012,NA,1,1,1,1,1,1,19,1,1,1,1,1,1,1,4,5,4,6,1,1,3,5,1,2,1,5,1,5,5,5,9,0,0,-9,2,5,5,6,2,6,2,4,7,3,4,2,2,6,7,2,5,7,2,2,7,3,2,3,5,1,3,1,1,2,3,4,5,5,4,5,4,1,4,3,4,4,1,2,2,3,4,2,-9,NA,NA,4,NA,NA,NA,1,5,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,0,3,1,3,2,1,1,Powerful,Interesting,Masterful,Thought provoking,NA,NA,NA,NA,NA,NA,5,6,2,3,3,1,1,3,4,1,1,2,2,3,7,1,1,3,5,4,5,3,5,2,4,3,1,5,3,1,5,3,1,6,1,3,1,3,1,2,3,1,1,2,4,1,5,3,1,1,3,5,1,1,1,1,2,4,7,1,1,5,5,3,5,3,NA,1,4,2,5,3,1,5,5,4,5,2,1,5,1,4,1,6,4,6,3,6,2,6,4,2,4,4,2,7,6,4,6,4,6,2,3,1,-9,NA,NA,NA,NA,NA,1,2,3,4,2,1,7,1,-1,12,4.3304,2.8599666666666668,3.0012,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,film-perfo
in-person,0,13,sub-in013,NA,1,1,1,1,1,NA,20,1,1,1,1,1,3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,5,4,0,0,4,1,2,7,6,7,5,7,6,7,7,2,6,6,6,7,4,5,7,7,7,6,7,6,4,4,5,4,7,7,1,1,1,5,1,4,4,3,3,1,4,1,2,5,5,1,1,2,2,1,-9,1,NA,NA,NA,1,1,NA,7,friend is doing the study,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,19,FALSE,0,4,3,1,2,1,3,Powerful,Unique,Nevcessary,NA,NA,NA,NA,NA,NA,NA,4,4,5,4,3,1,1,1,7,6,5,2,2,2,4,2,7,7,7,7,7,1,7,7,7,7,7,7,7,7,7,1,6,7,4,6,4,4,3,2,1,1,1,2,2,4,2,2,1,1,1,7,5,5,7,2,2,2,6,2,5,7,7,7,7,1,NA,1,6,7,5,6,3,7,5,7,7,1,6,6,1,6,4,7,6,7,5,7,7,6,6,5,5,5,5,6,7,6,7,4,4,4,6,1,-9,NA,NA,NA,NA,NA,2,1,3,2,2,1,6,3,-1,13,2.6715166666666668,1.97345,1.9305666666666668,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,0,NA,film-perfo
in-person,0,14,sub-in014,message: recording failed,1,1,1,1,1,NA,39,1,1,1,2,2,1,2,3,4,2,4,1,3,3,3,4,1,2,1,4,5,4,4,1,5,14,3,7,6,5,7,5,7,6,7,6,3,6,5,2,7,5,5,7,6,2,4,7,6,4,3,6,7,4,4,2,2,2,4,2,2,4,2,3,2,2,2,3,3,3,2,1,2,4,6,6,1,2,4,NA,1,NA,1,6,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,FALSE,1,2,3,2,2,3,3,Moving,Powerful,Affective,Complex,Multifaceted,Drumming,Percussion,Sound,Righteous,Visceral,6,6,7,5,6,2,3,5,4,2,2,5,5,3,5,4,5,6,6,5,6,4,5,6,5,5,5,4,6,5,7,2,5,6,6,6,6,2,2,3,2,2,3,7,7,6,6,6,2,3,5,5,2,2,2,6,5,4,5,4,3,5,6,6,5,5,NA,2,4,6,6,5,4,3,6,4,6,2,4,7,5,4,6,6,5,6,5,7,5,6,6,6,7,6,6,7,2,4,6,6,5,6,6,1,8,NA,NA,NA,NA,NA,3,1,3,3,2,1,4,2,1,5,4.831766666666667,2.8961666666666668,3.85615,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,100,film-perfo
in-person,0,15,sub-in015,NA,1,1,1,1,1,1,46,1,1,1,1,1,1,1,5,6,5,2,3,4,7,5,5,4,4,5,5,4,3,1,0,6,1,4,5,4,5,7,4,7,6,4,7,4,5,4,7,7,4,5,5,6,3,4,5,5,4,7,4,3,5,3,4,4,2,3,3,3,4,5,4,2,4,1,2,4,3,4,2,1,2,1,-9,1,NA,4,5,NA,1,1,4,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,FALSE,0,1,2,3,3,4,1,Makes you think,Liberating,How can you fix justice,I cannot imagine people living listening those sounds for decades,NA,NA,NA,NA,NA,NA,6,6,7,7,5,7,1,7,4,1,1,3,3,3,1,NA,4,7,7,7,7,5,4,7,5,7,4,4,6,6,7,2,7,7,7,7,5,3,3,1,2,2,2,4,5,7,5,7,6,1,4,5,1,1,1,2,2,3,2,NA,3,7,7,7,7,6,NA,1,5,6,6,2,3,5,4,2,7,2,6,7,5,6,4,1,7,7,7,7,5,6,5,5,7,5,6,6,4,7,7,7,3,7,5,1,12,NA,NA,NA,NA,NA,1,2,4,2,4,1,1,1,1,14,6.537,4.37435,4.089833333333333,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,0,NA,film-perfo
