attendance,day,p_nr,p_id,notes,consent_checkbox_1,consent_checkbox_2,consent_checkbox_3,consent_checkbox_4,consent_checkbox_5,consent_checkbox_6,age,vision,hearing,naive,base_ios_john,base_ios_allen,base_ios_anna,base_pd1,base_pd2,base_ec1,base_ec2,base_pd3,base_ec3,base_pd4,base_ec4,base_pd5,base_pd6,base_ec5,base_pd7,base_ec6,base_pd8,open4,open8,open12,exercise_stren,exercise_moderate,exercise_mild,income,education,base_tpb8,base_tpb9,base_tpb4,base_nam5,base_tpb2,base_tpb12,base_tpb10,base_nam2,base_nam3,base_nam10,base_nam12,base_nam4,base_tpb3,base_tpb7,base_nam9,base_nam1,base_tpb1,base_tpb5,base_nam7,base_tpb6,base_nam8,base_tpb11,base_nam6,base_nam11,base_tpb13,base_tpb14,base_tpb15,open1,open6,open11,iri2,iri4,iri6,iri9,iri10,iri13,iri14,iri17,iri18,iri19,iri20,iri22,iri24,iri27,exercise_sweat,omsi,familiarity,liking,motivation1,motivation2,motivation4,motivation5,relationship2,identity1,experience-1,politics,motivation_other,relationship-1,identity-1,motivation3,identity5,identity3,experience1,identity-9,identity2,experience2,experience-9,relationship1,experience3,identity4,NA_count.pre,check_toofast_base,flyer,perfo_emotion1,perfo_emotion2,perfo_emotion3,perfo_emotion4,perfo_emotion5,perfo_emotion6,perfo_describe1,perfo_describe2,perfo_describe3,perfo_describe4,perfo_describe5,perfo_describe6,perfo_describe7,perfo_describe8,perfo_describe9,perfo_describe10,perfo_enjoy,perfo_interest,perfo_moved,perfo_insight,perfo_concentration,perfo_chills,perfo_tears,perfo_reengage,perfo_duration,perfo_understand_john,perfo_understand_allen,perfo_ios_john,perfo_ios_allen,perfo_ios_anna,perfo_ios_inperson,perfo_ios_remote,perfo_pd1,perfo_pd2,perfo_ec1,perfo_ec2,perfo_pd3,perfo_ec3,perfo_pd4,perfo_ec4,perfo_pd5,perfo_pd6,perfo_ec5,perfo_pd7,perfo_ec6,perfo_pd8,perfo_nam2,perfo_nam3,perfo_nam4,perfo_nam1,perfo_tpb13,perfo_tpb14,perfo_tpb15,docu_emotion1,docu_emotion2,docu_emotion3,docu_emotion4,docu_emotion5,docu_emotion6,docu_enjoy,docu_interest,docu_moved,docu_insight,docu_concentration,docu_chills,docu_tears,docu_reengage,docu_duration,docu_understand_john,docu_understand_allen,docu_understand_anna,docu_ios_john,docu_ios_allen,docu_ios_anna,docu_ios_inperson,docu_ios_remote,docu_pd1,docu_pd2,docu_ec1,docu_ec2,docu_pd3,docu_ec3,country,priorknowledge,docu_pd4,docu_ec4,docu_pd5,docu_pd6,docu_ec5,docu_pd7,docu_ec6,docu_pd8,docu_nam2,docu_nam3,docu_nam4,docu_nam1,docu_tpb13,docu_tpb14,docu_tpb15,final_tpb8,final_tpb9,final_tpb4,final_nam5,final_tpb2,final_tpb12,final_tpb10,final_nam10,final_nam12,final_tpb3,final_tpb7,final_nam9,final_tpb1,final_tpb5,final_nam7,final_tpb6,final_nam8,final_tpb11,final_nam6,final_nam11,orderpreference,caffeine,speaker,video_quality,video_fluency,camera_frame,sound_quality,base_emotion1,base_emotion2,base_emotion3,base_emotion4,base_emotion5,base_emotion6,base_ios_inperson,base_ios_remote,mailing,NA_count.event,time1,time2,time3,check_toofast1,check_tooslow1,check_toofast2,check_tooslow2,check_toofast3,check_tooslow3,donation_click,post_donation,donation_amount,order
in-person,1,04,sub-in104,NA,1,1,1,1,1,NA,22,1,1,1,1,1,1,1,1,5,5,3,4,5,3,4,4,3,3,5,3,4,4,4,0,5,7,6,5,5,5,6,6,6,6,6,6,2,2,5,5,6,5,5,6,6,6,6,3,6,6,6,6,6,6,6,2,2,2,3,4,4,4,4,4,3,3,2,4,3,2,2,2,3,2,2,-9,NA,NA,NA,5,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,FALSE,1,3,2,2,2,2,1,Engaging,Dynamic,Long,Confusing,Different,Unique,Like nothing ive eeen before,Difference of depth of stage was interesting,Innovative,Engaging,5,4,2,3,6,1,1,3,6,2,2,2,2,1,2,1,6,6,6,6,6,6,7,7,7,7,7,7,4,6,6,1,6,7,5,5,5,3,4,1,1,1,2,3,2,2,2,6,1,1,2,6,1,1,1,1,1,1,2,1,7,7,7,5,6,4,NA,1,7,7,7,7,6,6,5,6,7,2,5,6,5,6,5,2,3,4,3,6,6,5,4,4,5,3,5,5,3,5,3,4,6,5,5,0,2,NA,NA,NA,NA,NA,4,3,2,1,2,2,2,1,-1,6,4.464566666666666,1.5675666666666668,1.969,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,perfo-film
in-person,1,05,sub-in105,NA,1,1,1,1,1,1,62,1,1,1,1,1,1,5,1,5,6,6,3,3,6,3,2,4,3,3,4,4,4,5,0,1,1,6,5,4,6,7,5,6,4,6,4,6,5,4,3,6,5,4,3,6,2,5,7,5,4,4,5,4,5,5,2,3,3,3,2,1,4,2,4,3,3,1,4,4,4,2,1,2,2,2,6,1,NA,4,NA,1,NA,1,6,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,FALSE,0,2,1,3,3,3,2,Intense,Engaging,Enveloping,Suspenseful,Enlightening,Chilling at times,NA,NA,NA,NA,6,5,5,3,5,2,2,7,4,1,1,6,6,3,4,1,4,2,6,5,6,5,5,5,5,5,4,2,5,6,4,5,3,5,2,6,5,1,2,3,4,3,1,7,6,6,6,7,4,4,6,4,1,1,1,7,7,7,6,1,6,5,7,5,5,5,NA,1,5,7,5,5,3,4,4,5,5,5,5,4,4,7,5,1,5,7,4,5,4,6,5,5,5,2,4,6,3,4,6,5,4,6,6,1,12,NA,NA,NA,NA,NA,1,1,4,4,3,1,3,1,1,9,7.082533333333333,3.97275,5.054233333333333,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,10,perfo-film
in-person,1,06,sub-in106,NA,1,1,1,1,1,NA,22,1,1,1,4,3,3,5,4,6,5,5,4,5,5,5,4,4,5,4,4,5,3,2,4,0,4,4,5,4,3,6,4,6,5,4,5,4,5,4,4,5,4,4,6,6,3,5,4,5,3,4,5,3,4,4,2,3,4,4,2,3,4,5,4,2,5,2,4,4,4,3,2,2,3,2,4,NA,NA,4,NA,1,1,1,5,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,20,FALSE,1,2,2,3,3,3,2,Surprising,Modern,Justice,New,Multimedia,Interesting,Impressive,Freely done,NA,NA,4,5,3,2,5,2,1,2,5,2,2,4,4,4,5,4,5,4,5,4,4,2,4,5,4,5,2,3,4,4,6,5,4,6,3,5,4,3,2,3,3,2,2,5,5,4,5,5,1,1,4,5,2,2,2,5,5,6,5,4,4,5,6,5,5,4,NA,1,4,5,5,4,3,4,5,5,6,3,5,7,4,4,4,5,3,7,4,6,5,5,6,4,7,4,4,5,2,5,6,5,3,5,5,1,12,NA,NA,NA,NA,NA,2,1,3,3,2,1,5,3,-1,8,4.354166666666667,2.3578166666666664,2.3347166666666666,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,0,NA,perfo-film
in-person,1,07,sub-in107,NA,1,1,1,1,1,1,23,1,1,1,4,1,2,4,4,6,2,2,1,3,4,2,2,1,1,1,1,5,4,3,2,4,4,4,5,3,4,7,3,7,4,6,5,2,2,2,2,7,3,2,7,7,4,5,6,2,4,2,2,2,3,1,1,2,2,3,3,4,4,5,2,2,5,2,2,3,3,2,2,3,3,2,4,NA,NA,NA,NA,1,1,1,6,My sister is involved with the research,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,FALSE,0,4,1,2,3,2,1,Interesting,Noisy,Fun,Entrancing,Definitely a lot going on!,NA,NA,NA,NA,NA,4,6,2,2,5,3,1,2,6,2,2,2,2,1,4,2,3,5,6,3,5,1,4,5,2,3,2,1,1,2,6,3,3,6,1,2,1,4,1,1,3,2,1,2,4,2,3,2,1,1,2,6,1,1,1,1,1,2,3,2,2,4,5,5,4,2,NA,1,2,5,2,4,3,1,3,2,7,3,4,6,1,4,1,3,4,7,4,5,3,6,2,2,6,3,3,6,3,5,6,3,4,3,2,-1,11,NA,NA,NA,NA,NA,2,2,2,3,3,1,6,3,-1,11,4.874183333333334,3.2573166666666666,2.434633333333333,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,0,NA,perfo-film
in-person,1,08,sub-in108,NA,1,1,1,1,1,NA,-1,1,1,1,2,2,1,4,5,7,7,1,1,2,5,3,5,1,1,2,4,4,4,4,2,3,20,4,2,2,4,6,2,6,4,3,4,6,5,2,2,5,2,4,5,5,2,4,6,4,2,2,4,2,5,2,3,4,2,4,3,3,4,3,2,3,4,3,4,4,5,2,3,2,2,3,-9,NA,NA,4,NA,1,NA,1,5,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,FALSE,1,3,3,4,2,2,2,Novel,Varying,Impressive,Repetitive,Peculiar,Multifaceted,Loud,Lots to concentrate on,Fun,Unexpected,4,7,5,6,6,5,1,1,6,3,3,4,3,3,5,2,5,5,5,4,2,1,1,6,4,6,1,1,4,4,4,5,3,6,2,5,2,4,2,3,2,2,1,4,4,3,5,5,2,1,2,7,1,1,1,5,3,3,5,2,3,4,6,2,2,1,NA,2,1,6,5,5,3,1,4,4,5,5,2,6,2,5,2,4,4,5,2,6,4,4,2,2,6,3,2,6,2,4,6,6,4,4,2,1,12,NA,NA,NA,NA,NA,1,2,3,2,3,1,6,3,-1,6,5.8031,3.5366166666666667,2.12185,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,0,NA,perfo-film
in-person,1,09,sub-in109,NA,1,1,1,1,1,NA,39,1,1,1,1,1,1,6,6,6,5,6,4,6,6,7,7,3,4,7,7,5,5,5,2,3,2,3,6,3,5,6,4,5,4,4,6,3,4,4,4,6,5,4,5,5,5,5,5,4,6,4,4,5,5,4,1,1,2,4,2,5,4,4,1,2,5,1,3,4,4,2,2,3,6,5,6,NA,NA,4,NA,1,1,1,4,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,FALSE,1,2,3,2,1,2,3,Moving,Intense,Profound,Sad,Beautiful,Strong,Powerful,Poignant,Interesting,Thought provoking,5,5,6,3,6,2,6,2,4,2,2,2,3,1,2,1,5,6,5,4,6,4,6,5,6,6,2,3,4,5,6,1,3,6,4,5,4,4,2,3,2,1,2,5,5,5,6,4,1,1,3,4,2,2,2,3,4,3,2,1,7,7,7,4,6,4,NA,3,7,7,7,7,4,5,6,6,6,1,3,7,4,6,4,4,4,7,6,6,4,5,4,4,6,4,4,4,5,5,6,5,4,4,5,1,16,NA,NA,NA,NA,NA,2,1,3,2,3,1,2,1,-1,6,5.979816666666666,2.1521,3.0232,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,0,NA,perfo-film
in-person,1,10,sub-in110,NA,1,1,1,NA,1,NA,34,1,1,1,1,1,1,5,6,7,6,6,5,4,7,4,6,6,5,7,7,5,5,4,2,5,7,2,6,2,6,7,5,6,3,6,7,4,3,3,6,7,6,5,3,7,5,4,7,7,4,6,6,4,5,3,1,2,1,4,5,2,5,2,4,2,1,3,4,5,5,1,2,3,4,2,5,1,NA,4,NA,1,NA,1,4,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,21,FALSE,0,2,3,2,2,3,1,Moving,Wild,Surprising,Strange,Depressing,Jarring,Novel,Long,Intense,NA,5,7,6,3,5,2,3,6,5,6,6,4,3,3,4,1,3,6,4,6,7,3,6,6,7,7,4,7,5,7,7,3,6,7,4,5,4,4,1,2,3,2,1,3,2,2,4,4,1,1,2,6,2,2,2,2,2,4,2,1,6,5,7,4,5,2,NA,1,6,6,6,7,5,3,4,6,7,4,6,4,4,5,4,1,6,7,7,4,4,4,4,5,7,7,5,7,6,6,6,5,4,4,6,1,5,NA,NA,NA,NA,NA,2,1,4,3,4,1,2,1,-9,7,4.520783333333333,2.50975,3.0086833333333334,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,0,NA,perfo-film
in-person,1,11,sub-in111,NA,1,1,1,1,1,NA,22,1,1,1,1,1,6,1,5,6,6,2,2,5,6,6,6,6,6,2,2,5,5,4,7,8,10,2,5,7,6,6,1,6,2,1,5,1,5,1,6,7,6,2,7,5,6,5,7,2,2,1,3,5,1,1,1,1,4,1,1,5,4,2,1,1,1,4,2,1,2,4,3,3,2,1,-9,NA,NA,4,5,1,1,1,5,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,FALSE,1,4,1,1,2,3,1,Energetic,Odd,Interesting,Erratic,Impulsive,Weird,NA,NA,NA,NA,2,1,1,1,5,3,1,1,5,1,2,1,1,4,4,1,6,3,5,3,5,1,5,4,5,6,1,3,4,1,7,1,6,5,1,2,2,2,1,3,3,4,2,4,2,4,5,5,2,1,2,5,1,1,1,1,1,2,4,1,6,5,5,5,2,4,NA,1,6,7,5,6,2,6,4,1,7,1,6,6,1,2,2,6,5,7,4,6,2,1,6,3,7,6,2,5,4,4,5,3,7,3,4,0,6,NA,NA,NA,NA,NA,3,1,4,4,4,1,4,1,-1,10,4.09525,1.8976666666666666,2.30335,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,0,NA,perfo-film
in-person,1,12,sub-in112,NA,1,1,1,1,1,NA,29,1,1,1,2,2,5,4,6,6,3,4,5,5,7,5,4,1,4,7,3,5,1,4,1,5,7,2,6,6,5,7,5,6,4,5,6,3,5,5,7,7,7,5,7,7,7,6,7,6,7,5,6,4,5,3,1,1,1,4,2,4,5,4,2,2,3,2,4,5,3,2,1,2,3,5,-9,1,NA,4,NA,NA,1,1,7,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,19,FALSE,1,3,2,3,2,3,1,Evocative,Loud,Ruminative,Insightful,Rhythmic,Unafraid,Percussive,Coordinated,Varied,Experimental,6,7,6,3,6,5,2,7,5,1,1,5,6,6,7,3,5,6,6,2,5,2,4,7,5,5,2,4,5,4,6,3,6,7,3,4,5,4,2,4,3,3,1,5,4,4,3,4,1,1,2,6,1,1,1,4,3,5,6,2,4,7,6,2,5,3,NA,1,3,5,2,3,2,2,4,3,6,2,6,7,3,4,5,7,5,7,6,7,4,4,5,5,7,5,5,6,7,5,7,5,6,4,5,0,6,NA,NA,NA,NA,NA,2,1,3,3,3,1,6,2,-1,6,4.139016666666667,2.715,2.64085,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,0,NA,perfo-film
in-person,1,13,sub-in113,NA,1,1,1,1,1,NA,28,1,1,1,1,1,1,7,7,7,7,7,4,7,7,7,7,5,4,4,7,5,2,4,7,3,0,2,6,5,5,7,5,7,3,5,7,2,6,5,5,6,3,5,7,7,2,6,6,7,5,5,7,7,7,5,1,2,2,5,3,5,4,5,3,1,4,1,3,5,5,2,2,3,2,2,-9,1,NA,4,5,1,1,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,1,2,2,2,2,3,2,Moving,Engaging,Powerful,Emotional,Creative,Unique,Interesting,NA,NA,NA,6,7,6,3,6,4,1,6,4,2,3,2,3,2,5,3,5,6,5,5,7,4,6,5,7,7,3,6,6,7,7,2,5,7,7,7,6,3,3,3,2,2,3,6,5,6,7,6,5,1,6,4,1,1,1,4,5,5,4,3,7,7,6,6,7,6,NA,2,7,6,7,7,5,4,7,7,7,1,5,7,7,7,6,4,6,7,6,7,5,6,6,5,7,3,6,7,3,6,6,6,6,7,7,1,12,NA,NA,NA,NA,NA,3,2,3,2,3,1,4,2,1,9,5.1863166666666665,2.870416666666667,2.8609333333333336,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,0,NA,perfo-film
in-person,1,14,sub-in114,NA,1,1,1,1,1,NA,29,1,1,1,1,2,2,3,4,5,4,6,2,6,6,6,6,2,4,7,3,4,5,5,3,5,7,2,7,5,6,7,6,6,3,6,5,2,5,3,5,6,6,5,6,6,5,2,7,5,4,3,5,4,6,4,1,1,2,4,4,3,5,3,2,1,3,2,3,4,3,2,3,3,5,3,3,NA,NA,4,NA,1,1,1,6,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,1,3,2,3,3,2,1,Repetitive,Silly,Abstract,Rhythmic,Confusing,Heavy,Cultural,Dynamic,Mysophonia,Out there,3,4,2,4,5,5,1,2,5,2,3,2,2,3,5,1,4,4,5,2,4,2,4,5,6,4,2,3,5,3,5,1,5,7,2,6,4,4,2,2,2,2,2,4,4,4,3,4,1,2,3,7,1,1,2,3,2,5,4,1,5,5,5,4,4,3,NA,1,3,7,4,5,3,2,5,3,6,1,5,7,4,6,5,5,6,6,6,7,5,6,4,3,4,5,5,6,6,4,7,5,4,4,5,1,8,NA,NA,NA,NA,NA,2,4,2,1,4,2,4,1,-1,5,5.882116666666667,2.5468,3.3781166666666667,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,0,NA,perfo-film
in-person,1,15,sub-in115,NA,1,1,1,1,1,1,28,1,1,1,2,3,2,3,5,3,1,3,3,3,2,5,4,1,2,5,2,5,3,4,18,10,3,4,7,3,3,6,4,5,3,4,6,3,2,3,3,6,4,2,5,5,4,3,5,4,3,2,3,4,5,4,1,2,2,4,3,2,4,3,2,2,2,2,3,4,4,2,2,3,4,6,6,1,2,4,5,1,1,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,FALSE,0,2,2,4,2,2,2,Stimulating,Rhythmic,Interesting,Modern,Thought provoking,Eclectic,Multisensory,At times groovy,NA,NA,6,6,5,5,6,4,1,3,4,3,3,3,2,1,3,1,6,3,3,2,3,3,4,2,3,3,1,2,3,3,5,4,4,7,2,5,4,3,2,3,2,2,2,5,6,5,7,5,2,2,2,5,2,2,2,2,2,1,2,1,7,4,5,4,4,1,NA,2,3,2,3,2,1,3,5,2,4,3,4,6,3,5,4,3,4,6,3,7,3,4,3,4,6,4,3,6,3,5,6,4,4,3,4,1,8,NA,NA,NA,NA,NA,2,1,4,2,3,1,2,1,-1,8,6.7333,2.8039666666666667,3.0944666666666665,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,21.84,perfo-film
in-person,1,16,sub-in116,NA,1,1,1,1,1,NA,54,1,1,1,4,4,4,2,4,4,1,3,1,2,7,4,6,1,3,4,1,5,5,5,1,7,5,1,4,3,6,6,4,6,5,6,5,2,2,6,6,6,6,6,6,6,4,4,4,4,4,4,4,2,2,2,1,1,1,4,1,4,5,5,3,1,3,1,4,5,4,1,1,3,2,2,-9,NA,NA,4,NA,NA,1,NA,5,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,21,FALSE,1,1,1,3,3,3,1,Interseting,Loud,Memorable,Excellent,Enjoyable,Different,NA,NA,NA,NA,7,7,4,4,7,2,1,5,5,3,3,1,1,1,2,1,1,1,5,1,3,1,1,4,3,3,1,2,5,1,7,2,6,6,2,3,1,2,1,2,3,1,1,7,6,6,5,5,2,2,4,5,1,1,1,1,1,1,1,1,7,2,5,3,4,2,NA,1,3,5,2,3,2,2,3,2,6,2,4,NA,1,6,1,4,6,7,7,6,4,6,4,4,6,6,4,6,4,6,4,6,4,3,6,1,10,NA,NA,NA,NA,NA,1,1,4,4,1,1,1,1,1,11,6.894333333333333,4.682266666666667,3.799733333333333,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,perfo-film
in-person,1,17,sub-in117,NA,1,1,NA,NA,NA,NA,20,1,1,1,1,1,1,1,1,2,1,2,1,1,2,2,1,1,1,1,1,5,3,2,0,2,7,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,4,5,3,NA,4,5,2,3,5,2,3,3,4,3,3,2,1,2,2,NA,NA,4,NA,1,1,1,-9,NA,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,50,FALSE,1,2,2,3,1,2,1,Powerful,Entertaining,Loud,Great sound performance,Thought provoking,NA,NA,NA,NA,NA,4,5,5,4,4,5,1,2,4,3,3,1,1,1,2,1,4,3,5,4,3,1,3,6,4,5,1,3,4,4,6,1,7,6,4,4,4,2,2,2,1,2,1,4,5,5,4,4,4,1,2,4,2,2,2,1,1,1,2,1,5,3,5,3,5,1,NA,1,2,6,3,5,2,3,5,3,7,1,6,6,4,4,4,3,4,5,4,6,4,5,4,4,5,4,4,7,4,4,5,4,5,4,4,1,15,NA,NA,NA,NA,NA,1,2,3,2,3,1,2,1,-1,10,4.865,2.0862166666666666,4.185883333333333,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,0,NA,perfo-film
in-person,1,18,sub-in118,no second calibration at intermission due to time constraints,1,1,1,1,1,1,20,1,1,1,1,1,1,6,4,7,7,1,1,3,3,4,4,1,6,6,1,5,4,4,2,1,5,1,5,6,6,6,4,7,7,5,7,5,7,5,7,6,7,4,6,7,7,7,7,6,5,7,5,6,6,6,5,1,1,5,5,4,5,3,3,1,5,1,5,5,5,2,2,2,3,6,3,NA,NA,NA,NA,1,1,1,-9,Recommend by a friend,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,FALSE,1,4,3,2,3,2,1,Noise,Sounds,Ringing,Informative,Interesting,Melodic,Tapping,Clicking,Scratching,Harmonic,6,7,6,6,4,5,1,5,4,1,2,3,3,2,4,1,3,1,6,5,1,4,1,6,4,4,3,4,7,4,7,4,7,6,5,6,6,3,2,2,4,4,1,5,7,7,7,6,4,1,4,5,1,1,1,4,4,4,3,1,6,3,7,7,1,6,NA,1,2,7,6,7,4,4,7,5,7,4,7,6,5,5,7,1,5,7,5,7,7,6,7,7,7,7,7,7,7,6,7,6,5,5,7,1,-9,NA,NA,NA,NA,NA,2,2,4,4,4,1,1,1,1,6,5.665216666666667,3.4618333333333333,3.2384,NA,NA,NA,NA,NA,NA,NA,1,0.25,perfo-film
in-person,1,19,sub-in119,NA,1,1,1,1,1,1,32,1,1,1,2,3,3,4,5,5,4,5,3,4,5,4,5,4,5,5,3,5,5,4,3,6,5,4,6,6,3,6,4,6,4,5,5,3,4,4,4,6,6,4,5,6,5,5,5,4,3,4,4,4,5,4,2,2,1,5,2,3,4,4,3,1,3,2,4,5,4,2,2,2,2,1,-9,1,NA,NA,NA,NA,1,1,6,A friend asked to attend with her,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,FALSE,1,4,2,2,3,2,3,Hypnotic,Sudden,Crash,Tense,Cacophany,Waves,Light,Boom,Sudden,Clink,4,5,4,5,5,6,1,5,5,1,1,2,2,3,3,2,2,2,4,2,5,3,5,4,4,5,3,5,5,3,5,1,4,5,4,5,4,3,1,3,3,3,2,5,5,4,4,5,4,2,4,4,1,1,1,2,2,3,4,2,3,4,5,4,5,4,NA,1,4,5,5,5,5,4,6,3,6,2,4,6,5,6,4,6,4,7,5,7,4,3,4,4,7,6,5,7,5,5,6,4,4,4,4,-1,10,NA,NA,NA,NA,NA,3,1,3,3,2,1,5,4,-1,6,3.7292,2.61725,2.5267833333333334,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,0,NA,perfo-film
in-person,1,20,sub-in120,NA,1,1,NA,NA,NA,NA,35,1,1,1,2,1,1,6,5,5,1,5,1,5,5,6,6,2,3,3,4,5,4,4,4,1,2,-9,7,2,5,7,7,7,4,3,6,3,5,5,2,7,7,5,6,7,5,5,7,5,3,6,6,6,6,6,1,2,1,4,2,3,5,4,2,1,3,1,3,4,2,2,2,3,3,1,-9,NA,NA,4,NA,NA,NA,NA,4,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,24,FALSE,1,3,3,2,4,4,2,Rhythmic,Alarming,Disturbing,NA,NA,NA,NA,NA,NA,NA,5,5,3,4,6,6,1,1,5,1,1,4,3,1,2,1,5,5,4,1,5,3,6,6,6,6,5,4,5,5,7,3,4,6,6,6,6,4,3,3,3,3,3,6,6,5,4,5,2,1,2,6,5,5,7,5,5,3,3,4,6,6,7,7,5,4,NA,1,6,5,6,6,3,4,5,7,5,6,6,6,6,6,6,5,7,6,7,6,5,6,7,5,6,7,6,6,6,6,6,6,6,6,7,1,5,NA,NA,NA,NA,NA,3,2,3,3,2,1,4,1,1,13,3.6821,2.3619166666666667,1.8942,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,perfo-film
in-person,1,21,sub-in121,NA,1,1,1,1,1,NA,18,1,1,1,2,2,2,3,3,5,3,5,1,4,4,7,7,2,5,5,7,4,5,4,3,7,7,-9,2,4,5,6,5,7,4,5,6,3,4,4,5,7,5,5,4,4,5,6,6,5,3,4,5,2,7,2,2,2,2,4,1,2,5,2,2,2,1,1,4,4,4,1,1,2,2,4,4,NA,NA,NA,NA,NA,1,1,4,my mom,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,1,3,1,2,3,2,1,Creative,Musical,Poetic,NA,NA,NA,NA,NA,NA,NA,4,3,4,4,3,3,1,2,5,3,2,4,3,3,4,2,6,4,6,3,4,2,4,5,6,7,4,5,5,5,6,3,5,5,1,6,1,4,1,1,1,1,1,2,2,5,4,3,1,1,1,6,5,5,7,4,4,6,5,1,5,6,7,6,7,1,NA,1,7,6,7,7,6,6,6,7,7,2,6,6,1,6,2,6,6,7,6,6,5,6,4,4,6,6,6,6,6,6,6,4,3,6,4,1,-9,NA,NA,NA,NA,NA,3,3,4,2,2,1,4,2,-1,13,6.24445,3.84835,3.0869833333333334,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,0,NA,perfo-film
in-person,1,22,sub-in122,pre-survey incomplete,1,1,NA,NA,NA,NA,16,1,1,1,1,1,3,2,2,7,2,3,2,4,3,7,3,1,5,2,1,5,1,4,NA,NA,NA,-9,-9,4,6,7,4,7,5,5,6,5,4,4,3,4,4,5,4,7,5,5,7,7,5,4,4,4,5,4,5,3,5,4,3,3,4,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,1,NA,4,5,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,NA,0,2,1,2,3,4,2,Creative,Emotionally engaging,Wonder,NA,NA,NA,NA,NA,NA,NA,3,3,1,1,4,2,1,2,5,4,4,4,3,3,4,2,7,2,7,1,1,3,1,4,5,1,2,4,3,4,6,4,2,4,4,6,5,3,2,1,2,4,2,4,5,4,5,3,3,1,2,5,3,3,2,4,4,4,3,1,7,4,5,4,3,3,NA,1,4,5,7,7,4,5,4,4,4,3,2,6,4,4,6,4,6,6,6,7,4,6,4,4,7,6,4,4,6,4,7,6,6,4,4,0,-9,NA,NA,NA,NA,NA,2,1,2,3,4,2,4,2,-1,13,6.29615,4.287716666666666,3.421316666666667,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,perfo-film
in-person,1,23,sub-in123,NA,1,1,1,1,1,NA,72,1,1,1,2,3,1,5,6,7,5,6,5,4,6,6,7,4,3,4,5,4,4,2,0,3,3,6,4,4,5,5,3,4,6,5,7,3,5,5,4,6,5,4,6,7,5,5,4,4,6,4,6,4,5,4,3,3,3,1,3,1,4,3,4,2,2,3,4,3,2,1,1,2,2,2,-9,1,NA,NA,NA,NA,NA,1,4,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,FALSE,1,3,1,2,2,3,2,Different,Cacaphony of sound,Unexpected,Unique,Irritating,Annoying,Strange,Uneasy listening,Repetitive,Too long,2,3,1,1,5,1,1,1,7,3,3,1,1,2,2,1,3,3,5,3,6,2,2,6,5,4,2,1,4,4,4,2,4,6,4,4,4,3,2,2,2,3,2,2,2,2,1,5,1,1,1,6,1,1,1,1,1,2,2,1,1,2,5,2,4,2,NA,1,3,6,4,4,2,2,4,4,5,2,4,5,4,4,4,2,3,5,4,5,4,5,5,4,5,4,4,5,4,5,5,5,5,6,4,1,10,NA,NA,NA,NA,NA,1,1,3,3,3,1,4,2,-1,6,4.835283333333333,2.9283333333333332,2.76225,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,0,NA,perfo-film
